fiscal_year,year,month,month_name,value
2014,2013,7,July,8337
2014,2013,8,August,9641
2014,2013,9,September,14827
2014,2013,10,October,17555
2014,2013,11,November,13436
2014,2013,12,December,12634
2014,2014,1,January,8403
2014,2014,2,February,12615
2014,2014,3,March,12573
2014,2014,4,April,15208
2014,2014,5,May,13210
2014,2014,6,June,10847
2015,2014,7,July,10817
2015,2014,8,August,10282
2015,2014,9,September,16240
2015,2014,10,October,17217
2015,2014,11,November,12085
2015,2014,12,December,12928
2015,2015,1,January,9695
2015,2015,2,February,11380
2015,2015,3,March,11091
2015,2015,4,April,11859
2015,2015,5,May,9992
2015,2015,6,June,8610
2016,2015,7,July,10490
2016,2015,8,August,8165
2016,2015,9,September,11270
2016,2015,10,October,11178
2016,2015,11,November,10144
2016,2015,12,December,6803
2016,2016,1,January,4951
2016,2016,2,February,10103
2016,2016,3,March,7852
2016,2016,4,April,9605
2016,2016,5,May,8142
2016,2016,6,June,7416
2017,2016,7,July,7374
2017,2016,8,August,7350
2017,2016,9,September,9660
2017,2016,10,October,10571
2017,2016,11,November,9037
2017,2016,12,December,8079
2017,2017,1,January,7033
2017,2017,2,February,9109
2017,2017,3,March,8644
2017,2017,4,April,9599
2017,2017,5,May,8363
2017,2017,6,June,8021
2018,2017,7,July,6461
2018,2017,8,August,7310
2018,2017,9,September,9902
2018,2017,10,October,10568
2018,2017,11,November,8869
2018,2017,12,December,7296
2018,2018,1,January,6995
2018,2018,2,February,7658
2018,2018,3,March,8178
2018,2018,4,April,9813
2018,2018,5,May,7434
2018,2018,6,June,7012
2019,2018,7,July,7374
2019,2018,8,August,6845
2019,2018,9,September,9503
2019,2018,10,October,11208
2019,2018,11,November,9407
2019,2018,12,December,8719
2019,2019,1,January,6486
2019,2019,2,February,9469
2019,2019,3,March,9581
2019,2019,4,April,11740
2019,2019,5,May,8010
2019,2019,6,June,8689
2020,2019,7,July,9271
2020,2019,8,August,8631
2020,2019,9,September,12122
2020,2019,10,October,13036
2020,2019,11,November,9764
2020,2019,12,December,9624
2020,2020,1,January,7683
2020,2020,2,February,11430
2020,2020,3,March,4295
2020,2020,4,April,0
2020,2020,5,May,0
2020,2020,6,June,0
2021,2020,7,July,0
2021,2020,8,August,0
2021,2020,9,September,0
2021,2020,10,October,0
