TrackingID	DateOrderTaken	CallNum/MSSNum	BibID	Collection	PatronName	Project	Deadline	PagesToDig	TotalNumImages	StorageFolder	SentSCETI	SCETIReceived	ReturnedSCETI	SCCReturned	MetadataComplete	MetadataBy	ImagingComplete	ImagingBy	ProcessingComplete	ProcessingBy	ProofPubl	ProofPublBy	ConditionNotes	NotesInstructions	RemovedProject	NumFoldouts	QA Failure	QA Pass
12230	4/11/2019	mscoll200 box 421				Marian Anderson Digitization			48	MarianAnderson\scrapbooks					4/11/2019	em	4/11/2019	JDRothschild	4/12/2019	JDRothschild				53260	0		0	0
12231	4/11/2019	mscoll200 box 419				Marian Anderson Digitization			65	MarianAnderson\scrapbooks					4/11/2019	em	4/15/2019	JDRothschild	4/15/2019	JDRothschild				53258                                                                                   493 PPInch	0		0	0
12232	4/11/2019	mscoll200 box 423				Marian Anderson Digitization			99	MarianAnderson\scrapbooks					4/11/2019	em	4/15/2019	JDRrothschild	4/15/2019	JDRothschild				loose scrapbook pages in 3 separate folders       525 PPInch	0		0	0
12233	4/11/2019	mscoll200 box 436				Marian Anderson Digitization			122	MarianAnderson\scrapbooks					4/11/2019	em	5/15/2019	JDRothschild	5/15/2019	JDRothschild				53275                                                                                    131 ' stand	0		0	0
12234	4/11/2019	mscoll200 box 428				Marian Anderson Digitization			41	MarianAnderson\scrapbooks					4/11/2019	em	4/12/2019	JDRothschild	4/15/2019	JDRothschild				53267	0		0	0
12235	4/11/2019	mscoll200 box416				Marian Anderson Digitization			129	MarianAnderson\scrapbooks					4/11/2019	em	5/13/2019	JDRothschild	5/13/2019	JDRothschild			full of loose greeting cards- HANDLE WITH CARE	"2 vols of scrapbooks_x000D_
53255"	0		0	0
12236	4/11/2019	mscoll 198 b91 fldr 6 item 1			National Portrait Gallery	Patron Req			10						4/11/2019	em	4/11/2019	jr	4/11/2019	jr				57263 (or 60832)	0		0	0
12237		913.377 H874.EM	1339160			GenColl Hathi		242		sceti-completed:\GenCollHathi															0		0	0
12238		913.481 G448	1337445			GenColl Hathi		76	98	sceti-completed:\GenCollHathi															0		0	0
12239		901 W549	1326675			GenColl Hathi		204		sceti-completed:\GenCollHathi															0		0	0
12240		901 Sp34.ySc	2869369			GenColl Hathi		28		sceti-completed:\GenCollHathi															0		0	0
12241		901 M897	1326508			GenColl Hathi		288		sceti-completed:\GenCollHathi															0		0	0
12242		913.481 B557	1337442			GenColl Hathi		54		sceti-completed:\GenCollHathi															0		0	0
12243		913.54 G347	1447535			GenColl Hathi		51		sceti-completed:\GenCollHathi															0		0	0
12244		913.54 L153	1340467			GenColl Hathi		107		sceti-completed:\GenColl Hathi															0		0	0
12245		913.38 P85	1339305			GenColl Hathi		806		sceti-completed:\GenCollHathi															0		0	0
12246		901 L665.EM	816144			GenColl Hathi		718	751	sceti-completed:\GenCollHathi															0		0	1
12247		913.3841 P198	2870082			GenColl Hathi		644	754	sceti-completed:\GenCollHathi															0		0	1
12248		913.379 K67	2912985			GenColl Hathi		104		sceti-completed:\GenCollHathi															0		0	0
12249		913.376 M524	2912978			GenColl Hathi		260		sceti-completed:\GenCollHathi															0		0	0
12250		913.42 C548 1962	371577			GenColl Hathi		200	232	sceti-completed:\GenCollHathi															0		0	1
12251		913.394 W688	2870126			GenColl Hathi		26		sceti-completed:\GenCollHathi															0		0	0
12252	4/16/2019	mscoll640 box112			DePreist, Ginette	Patron Req		See below for details of what to image	3						4/16/2019	em							"fldr 1- photo #5 James Depriest conducting_x000D_
fldr 2- medal of art_x000D_
           - officier de l'order du merit culturel"	62137	0		0	0
12253	4/16/2019	mscoll640 box61 fldr			DePreist, Ginette	Patron Req		See below for details	2						4/16/2019	em							"Fldr 459: James Depriest w/Bush  photo_x000D_
               : pg X15 top right pic of Depriest"	62135	0		0	0
12254	4/16/2019	LG291 .S5 R62			Alirezaieyan, Reza	Patron Req		all	361	PatronRequests					4/16/2019	em	4/19/2019	JDR	4/22/2019	JDR				57890	0	2	0	0
12255		901 V863	1326657			GenColl Hathi		130		sceti-completed:\GenCollHathi															0		0	0
12256		901 Sh88	2912392			GenColl Hathi		339	355	sceti-completed:\GenCollHathi															0		0	1
12257		913.54 C914	354131			GenColl Hathi		374	428	sceti-completed:\GenCollHathi													Reshoot p. 275 tiff00000299		0		0	1
12258		913.454 C769	2870229			GenColl Hathi		216		sceti-completed:\GenCollHathi															0		0	0
12259		913.497 V526	1337512			GenColl Hathi		92		sceti-completed:\GenCollHathi															0		0	0
12260		913.371 R66W	2912959			GenColl Hathi		21		sceti-completed:\GenCollHathi															0		0	0
12261		913.374 T125	2913046			GenColl Hathi		72		sceti-completed:\GenCollHathi															0		0	1
